2016-10-13 05:24:17,997 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314657	26.0	189.0	211.0	435.0	-99.0	-99.0	-1.0	-1.0	26.0	
2016-10-13 05:24:57,994 	 <Dispatcher> 	 Level 45 	 missing	1476314697	4511942.0	1.24682271481	194.891479492	588.671875	-99.0	-99.0	-1.0	-1.0	4511942.0	
2016-10-13 05:24:58,002 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314697	39.0	202.0	211.0	423.0	-99.0	-99.0	-1.0	-1.0	39.0	
2016-10-13 05:25:37,999 	 <Dispatcher> 	 Level 45 	 missing	1476314737	3398940.25	5.0026550293	198.24798584	749.8046875	-99.0	-99.0	-1.0	-1.0	3398940.25	
2016-10-13 05:25:38,006 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314737	36.0	201.0	215.0	438.0	-99.0	-99.0	-1.0	-1.0	36.0	
2016-10-13 05:26:18,003 	 <Dispatcher> 	 Level 45 	 missing	1476314777	3409193.0	4.49847698212	198.24798584	739.0625	-99.0	-99.0	-1.0	-1.0	3409193.0	
2016-10-13 05:26:18,011 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314777	37.0	204.0	214.0	437.0	-99.0	-99.0	-1.0	-1.0	37.0	
2016-10-13 05:26:58,008 	 <Dispatcher> 	 Level 45 	 missing	1476314818	4048303.5	3.32685089111	167.920913696	438.28125	-99.0	-99.0	-1.0	-1.0	4048303.5	
2016-10-13 05:26:58,016 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314818	9.0	172.0	202.0	409.0	-99.0	-99.0	-1.0	-1.0	9.0	
2016-10-13 05:27:38,013 	 <Dispatcher> 	 Level 45 	 missing	1476314858	3685953.0	5.19886779785	185.056686401	631.640625	-99.0	-99.0	-1.0	-1.0	3685953.0	
2016-10-13 05:27:38,021 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314858	27.0	192.0	211.0	427.0	-99.0	-99.0	-1.0	-1.0	27.0	
2016-10-13 05:28:18,022 	 <Dispatcher> 	 Level 45 	 missing	1476314898	4020230.0	1.41579985619	188.296096802	620.8984375	-99.0	-99.0	-1.0	-1.0	4020230.0	
2016-10-13 05:28:18,029 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314898	37.0	195.0	209.0	426.0	-99.0	-99.0	-1.0	-1.0	37.0	
2016-10-13 05:28:58,028 	 <Dispatcher> 	 Level 45 	 missing	1476314938	3712807.75	1.99084031582	206.812942505	760.546875	-99.0	-99.0	-1.0	-1.0	3712807.75	
2016-10-13 05:28:58,036 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314938	48.0	210.0	217.0	439.0	-99.0	-99.0	-1.0	-1.0	48.0	
2016-10-13 05:29:38,029 	 <Dispatcher> 	 Level 45 	 missing	1476314978	4045596.0	2.26040458679	206.812942505	782.03125	-99.0	-99.0	-1.0	-1.0	4045596.0	
2016-10-13 05:29:38,037 	 <Dispatcher> 	 Level 45 	 missing_raw	1476314978	49.0	211.0	218.0	441.0	-99.0	-99.0	-1.0	-1.0	49.0	
2016-10-13 05:30:18,035 	 <Dispatcher> 	 Level 45 	 missing	1476315018	3349329.75	4.83245372772	199.941055298	706.8359375	-99.0	-99.0	-1.0	-1.0	3349329.75	
2016-10-13 05:30:18,042 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315018	38.0	202.0	213.0	434.0	-99.0	-99.0	-1.0	-1.0	38.0	
2016-10-13 05:30:58,039 	 <Dispatcher> 	 Level 45 	 missing	1476315058	4420998.5	1.64369893074	206.812942505	760.546875	-99.0	-99.0	-1.0	-1.0	4420998.5	
2016-10-13 05:30:58,047 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315058	51.0	213.0	218.0	439.0	-99.0	-99.0	-1.0	-1.0	51.0	
2016-10-13 05:31:38,046 	 <Dispatcher> 	 Level 45 	 missing	1476315098	4343543.0	4.30785608292	170.951889038	491.9921875	-99.0	-99.0	-1.0	-1.0	4343543.0	
2016-10-13 05:31:38,054 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315098	15.0	174.0	206.0	414.0	-99.0	-99.0	-1.0	-1.0	15.0	
2016-10-13 05:32:18,048 	 <Dispatcher> 	 Level 45 	 missing	1476315138	4284124.0	4.72964334488	177.125991821	567.1875	-99.0	-99.0	-1.0	-1.0	4284124.0	
2016-10-13 05:32:18,056 	 <Dispatcher> 	 Level 45 	 missing_raw	1476315138	18.0	183.0	207.0	421.0	-99.0	-99.0	-1.0	-1.0	18.0	
2016-10-13 05:32:58,054 	 <Dispatcher> 	 Level 45 	 missing	1476315178	3362927.0	3.41511273384	199.941055298	760.546875	-99.0	-99.0	-1.0	-1.0	3362927.0	
